"Rapport de Gestion - Ventes par produits"
Etablissement;"Aloha the poke bar";83967029600012
"Période du";"2018-07-16 06:00:00";au;"2021-07-22 06:00:00"
"Généré le";"2021-07-21 11:53:45"

"Tous les prix sont exprimés en";EUR

Catégorie;Produit;export.report.sales.menu;Type;"TVA (%)";"Coût unitaire";Quantité;"Prix HT théorique";"Total HT théorique";"Marge théorique unitaire";"Marge théorique";"Remises / produit";"Remise / transaction";"Prix unitaire HT";"Total HT";"Marge brut unitaire";"Marge brut";"Taux de marge sur coût variable";"Total TTC"
VARIOUS;Ananas;"Prix de base";;5,50;0,00;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
VARIOUS;Avocat;"Prix de base";;5,50;0,00;419,00;0,05;19,91;0,05;19,91;0,00;0,00;0,05;19,91;0,05;19,91;1,00;21,00
BOISSONS;BADOIT;"Prix de base";;5,50;0,00;4,00;1,90;7,58;1,90;7,58;0,00;0,00;1,90;7,58;1,90;7,58;1,00;8,00
BOISSONS;BADOIT;"SUR PLACE";;5,50;0,00;318,00;1,90;602,84;1,90;602,84;0,00;0,00;1,90;602,84;1,90;602,84;1,00;636,00
BOISSONS;BADOIT;"À la carte";;5,50;0,00;39,00;1,90;73,93;1,90;73,93;0,00;0,00;1,90;73,93;1,90;73,93;1,00;78,00
"BOISSONS VAE";BADOIT;"A EMPORTER";;5,50;0,00;257,00;1,90;487,20;1,90;487,20;2,00;0,00;1,89;485,31;1,89;485,31;1,00;512,00
"BOISSONS VAE";BADOIT;"À la carte";;5,50;0,00;1,00;1,90;1,90;1,90;1,90;0,00;0,00;1,90;1,90;1,90;1,90;1,00;2,00
"BOISSON DELI";BADOIT;Deliveroo;;5,50;0,00;156,00;2,55;397,35;2,55;397,35;0,00;0,74;2,54;396,64;2,54;396,64;1,00;418,46
"BOISSON DELI";BADOIT;"Prix de base";;5,50;0,00;13,00;2,84;36,97;2,84;36,97;0,00;0,66;2,80;36,34;2,80;36,34;1,00;38,34
VARIOUS;balsamique;"Prix de base";;5,50;0,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
VARIOUS;bar;"Prix de base";;5,50;0,00;15,00;0,85;12,80;0,85;12,80;0,00;0,00;0,85;12,80;0,85;12,80;1,00;13,50
Bière;Blanche;"Prix de base";;20,00;0,00;9,00;4,31;38,75;4,31;38,75;0,00;0,00;4,31;38,75;4,31;38,75;1,00;46,50
Bière;Blanche;"A EMPORTER";;20,00;0,00;128,00;4,17;533,33;4,17;533,33;10,00;0,00;4,10;525,00;4,10;525,00;1,00;630,00
Bière;Blanche;"SUR PLACE";;20,00;0,00;563,00;4,17;2345,83;4,17;2345,83;5,00;0,00;4,16;2341,67;4,16;2341,67;1,00;2810,00
Bière;Blanche;"À la carte";;20,00;0,00;89,00;4,17;370,83;4,17;370,83;0,00;0,00;4,17;370,83;4,17;370,83;1,00;445,00
"BIERE DELI";BLANCHE;"À la carte";;20,00;0,00;1,00;5,42;5,42;5,42;5,42;0,00;0,00;5,42;5,42;5,42;5,42;1,00;6,50
